acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.518,-0.616,0.459,0.022,0.083,-0.016,0,0,0,0,0,waving
0.519,-0.622,0.463,0.033,0.107,-0.017,0,0,0,0,0,waving
0.519,-0.617,0.462,0.034,0.126,-0.030,0,0,0,0,0,waving
0.519,-0.617,0.449,0.014,0.141,-0.039,0,0,0,0,0,waving
0.537,-0.628,0.469,-0.027,0.139,-0.042,0,0,0,0,0,waving
0.536,-0.623,0.480,-0.051,0.107,-0.039,0,0,0,0,0,waving
0.530,-0.626,0.485,-0.068,0.070,-0.031,0,0,0,0,0,waving
0.526,-0.631,0.483,-0.055,0.055,-0.036,0,0,0,0,0,waving
0.522,-0.625,0.482,-0.029,0.057,-0.044,0,0,0,0,0,waving
0.516,-0.620,0.483,0.018,0.073,-0.053,0,0,0,0,0,waving
0.515,-0.620,0.492,0.056,0.098,-0.066,0,0,0,0,0,waving
0.517,-0.629,0.498,0.072,0.124,-0.074,0,0,0,0,0,waving
0.517,-0.629,0.508,0.054,0.155,-0.070,0,0,0,0,0,waving
0.557,-0.626,0.511,-0.014,0.167,-0.052,0,0,0,0,0,waving
0.588,-0.615,0.573,-0.094,0.109,-0.022,0,0,0,0,0,waving
0.585,-0.612,0.559,-0.132,0.026,-0.012,0,0,0,0,0,waving
0.591,-0.599,0.563,-0.146,-0.069,-0.015,0,0,0,0,0,waving
0.593,-0.589,0.572,-0.110,-0.146,-0.021,0,0,0,0,0,waving
0.580,-0.573,0.571,-0.017,-0.205,-0.043,0,0,0,0,0,waving
0.564,-0.563,0.573,0.095,-0.247,-0.058,0,0,0,0,0,waving
0.549,-0.577,0.590,0.203,-0.257,-0.082,0,0,0,0,0,waving
0.520,-0.584,0.602,0.289,-0.241,-0.109,0,0,0,0,0,waving
0.512,-0.581,0.646,0.327,-0.243,-0.121,0,0,0,0,0,waving
