acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.688,0.047,-0.778,0.022,0.073,0.534,0,23,27,23,14,shake
0.708,0.033,-0.750,0.007,0.076,0.566,0,24,26,24,14,shake
0.717,0.029,-0.718,0.009,0.063,0.571,0,24,25,23,14,shake
0.738,0.035,-0.697,0.048,0.062,0.559,0,24,24,22,13,shake
0.760,0.062,-0.704,0.152,0.078,0.538,0,25,25,22,14,shake
0.792,0.056,-0.708,0.260,0.065,0.514,0,25,25,22,13,shake
0.812,0.055,-0.718,0.327,0.039,0.485,0,25,25,22,14,shake
0.836,0.073,-0.734,0.363,0.024,0.434,0,24,25,21,14,shake
0.838,0.078,-0.748,0.416,-0.021,0.384,0,23,25,23,14,shake
0.854,0.065,-0.758,0.415,-0.057,0.328,0,24,25,29,14,shake
0.861,0.051,-0.782,0.385,-0.097,0.266,0,24,25,30,13,shake
0.866,0.053,-0.789,0.346,-0.135,0.226,0,24,25,30,13,shake
0.866,0.050,-0.784,0.306,-0.197,0.207,0,25,25,33,14,shake
0.860,0.042,-0.790,0.272,-0.265,0.177,0,23,25,33,14,shake
0.864,0.048,-0.802,0.248,-0.296,0.134,0,23,25,33,13,shake
0.872,0.070,-0.807,0.264,-0.289,0.079,0,23,25,32,14,shake
0.882,0.081,-0.818,0.264,-0.264,0.025,0,22,26,31,13,shake
0.902,0.097,-0.864,0.282,-0.242,-0.035,0,23,25,33,14,shake
0.910,0.108,-0.867,0.307,-0.263,-0.102,0,22,26,31,14,shake
0.912,0.104,-0.869,0.254,-0.278,-0.177,0,22,26,31,14,shake
0.899,0.099,-0.873,0.203,-0.286,-0.251,0,23,26,33,14,shake
0.905,0.095,-0.858,0.142,-0.279,-0.329,0,22,26,34,13,shake
0.913,0.089,-0.864,0.070,-0.280,-0.393,0,22,25,35,13,shake
0.912,0.094,-0.862,0.001,-0.285,-0.435,0,22,25,34,14,shake
0.930,0.072,-0.871,-0.048,-0.268,-0.483,0,22,25,35,14,shake
0.925,0.101,-0.878,-0.106,-0.232,-0.519,0,22,25,34,14,shake
0.916,0.089,-0.903,-0.142,-0.128,-0.577,0,21,26,34,13,shake
0.913,0.082,-0.918,-0.197,0.047,-0.639,0,21,25,33,13,shake
0.941,0.105,-0.938,-0.239,0.265,-0.719,0,22,25,33,13,shake
0.986,0.106,-0.959,-0.316,0.398,-0.804,0,21,25,33,13,shake
1.059,0.106,-1.010,-0.432,0.397,-0.912,0,21,25,33,13,shake
1.100,0.134,-1.063,-0.512,0.242,-1.022,0,21,26,34,13,shake
1.103,0.152,-1.115,-0.613,0.010,-1.133,0,21,26,33,13,shake
1.093,0.167,-1.108,-0.701,-0.203,-1.267,0,21,26,33,13,shake
1.054,0.129,-1.084,-0.858,-0.385,-1.367,0,22,26,37,13,shake
1.020,0.081,-1.046,-1.060,-0.486,-1.434,0,21,26,36,13,shake
0.951,0.062,-1.001,-1.223,-0.519,-1.494,0,21,26,35,13,shake
0.904,0.030,-0.959,-1.392,-0.473,-1.527,0,22,25,35,13,shake
0.854,0.022,-0.896,-1.504,-0.333,-1.572,0,22,25,31,13,shake
0.842,0.012,-0.881,-1.541,-0.161,-1.651,0,22,25,31,13,shake
0.833,0.006,-0.869,-1.577,0.028,-1.718,0,22,25,30,14,shake
0.820,-0.030,-0.823,-1.616,0.157,-1.752,0,22,25,29,14,shake
0.778,-0.067,-0.791,-1.716,0.202,-1.734,0,22,25,30,13,shake
0.755,-0.093,-0.733,-1.816,0.143,-1.700,0,21,25,30,13,shake
0.714,-0.096,-0.697,-1.875,0.047,-1.670,0,22,23,29,13,shake
0.675,-0.119,-0.644,-1.870,-0.074,-1.642,0,22,23,28,14,shake
0.659,-0.147,-0.587,-1.801,-0.176,-1.623,0,23,24,29,14,shake
0.605,-0.150,-0.597,-1.793,-0.305,-1.540,0,24,22,28,14,shake
0.565,-0.149,-0.559,-1.653,-0.356,-1.514,0,23,22,21,14,shake
0.515,-0.179,-0.499,-1.536,-0.332,-1.461,0,24,21,19,14,shake
0.464,-0.233,-0.461,-1.466,-0.313,-1.414,0,25,22,18,14,shake
0.425,-0.269,-0.419,-1.408,-0.340,-1.373,0,24,21,18,13,shake
0.399,-0.282,-0.357,-1.340,-0.393,-1.280,0,25,21,17,14,shake
0.358,-0.290,-0.332,-1.242,-0.483,-1.151,0,25,20,17,13,shake
0.338,-0.300,-0.298,-1.140,-0.604,-1.015,0,25,21,17,14,shake
0.311,-0.297,-0.267,-0.985,-0.771,-0.854,0,26,21,17,14,shake
0.287,-0.286,-0.254,-0.818,-0.946,-0.690,0,25,18,21,14,shake
0.231,-0.294,-0.244,-0.602,-1.109,-0.523,0,25,17,22,14,shake
0.171,-0.293,-0.203,-0.416,-1.208,-0.317,0,25,16,23,13,shake
0.106,-0.305,-0.175,-0.191,-1.189,-0.104,0,25,17,25,14,shake
0.035,-0.307,-0.132,0.014,-1.056,0.153,0,25,17,27,14,shake
-0.044,-0.295,-0.104,0.223,-0.788,0.414,0,26,21,29,13,shake
-0.100,-0.264,-0.065,0.454,-0.422,0.719,0,26,21,34,14,shake
-0.148,-0.252,-0.041,0.754,-0.025,1.021,0,26,20,40,14,shake
-0.181,-0.232,0.005,0.985,0.384,1.321,0,27,21,41,14,shake
-0.136,-0.230,-0.039,1.241,0.772,1.575,0,26,21,42,14,shake
-0.188,-0.185,0.033,1.511,1.085,1.859,0,27,21,43,14,shake
-0.160,-0.181,0.064,1.736,1.222,2.126,0,28,21,44,14,shake
-0.144,-0.159,0.101,1.915,1.310,2.400,0,28,22,45,14,shake
-0.144,-0.097,0.104,2.143,1.381,2.677,0,27,23,45,14,shake
-0.127,-0.029,0.096,2.426,1.537,2.914,0,28,23,49,14,shake
-0.090,0.038,0.059,2.729,1.672,3.159,0,28,23,50,14,shake
-0.092,0.123,0.046,3.020,1.835,3.404,0,28,24,51,14,shake
-0.026,0.196,-0.093,3.362,2.126,3.524,0,28,25,52,13,shake
0.080,0.302,-0.198,3.622,2.295,3.600,0,29,26,53,13,shake
0.156,0.431,-0.322,4.089,2.685,3.635,0,29,26,58,17,shake
0.240,0.548,-0.453,4.366,2.989,3.634,0,29,26,60,18,shake
0.421,0.638,-0.663,4.366,3.091,3.603,0,28,29,62,18,shake
0.560,0.750,-0.846,4.366,2.593,3.621,0,29,30,67,25,shake
0.672,0.876,-1.042,4.366,1.780,3.701,0,29,29,69,23,shake
0.790,1.014,-1.334,4.366,1.083,3.720,0,27,30,69,22,shake
0.822,1.391,-1.645,4.366,0.247,3.801,0,26,33,69,22,shake
1.197,1.425,-2.000,4.366,0.936,3.518,0,25,29,70,25,shake
1.299,1.400,-2.000,4.366,1.109,3.074,0,24,29,68,18,shake
1.366,1.391,-2.000,3.354,0.419,2.904,0,21,30,69,22,shake
1.528,1.434,-2.000,2.273,-0.621,2.841,0,20,29,73,25,shake
1.593,1.296,-2.000,1.504,-1.496,2.561,0,19,22,67,24,shake
1.579,1.260,-1.949,0.732,-1.636,2.036,0,18,27,62,23,shake
1.473,1.253,-1.733,0.451,-1.671,1.419,0,20,29,61,20,shake
1.365,1.186,-1.656,0.416,-1.709,0.812,0,21,29,60,18,shake
1.325,1.095,-1.525,0.310,-1.300,0.318,0,21,28,61,18,shake
1.293,0.940,-1.464,0.029,-0.621,0.012,0,20,29,62,19,shake
1.245,0.802,-1.426,-0.436,0.078,-0.265,0,21,28,60,19,shake
1.206,0.731,-1.354,-0.859,0.637,-0.516,0,21,26,62,19,shake
1.197,0.702,-1.294,-1.161,0.983,-0.714,0,22,27,62,19,shake
1.224,0.707,-1.289,-1.397,1.088,-0.895,0,21,28,62,18,shake
1.261,0.734,-1.306,-1.606,0.844,-1.084,0,21,27,65,18,shake
1.258,0.795,-1.343,-1.684,0.263,-1.268,0,21,28,66,18,shake
1.232,0.771,-1.283,-1.824,-0.431,-1.448,0,21,27,69,22,shake
1.165,0.775,-1.300,-2.016,-0.923,-1.675,0,21,29,69,23,shake
1.079,0.768,-1.274,-2.088,-1.133,-1.909,0,21,29,69,24,shake
1.004,0.729,-1.241,-2.204,-1.057,-2.101,0,22,29,69,23,shake
0.947,0.691,-1.179,-2.393,-0.787,-2.237,0,22,29,68,22,shake
0.876,0.682,-1.114,-2.534,-0.460,-2.360,0,23,29,65,23,shake
0.864,0.613,-1.107,-2.746,-0.193,-2.443,0,23,29,64,25,shake
0.802,0.580,-1.065,-2.994,-0.164,-2.445,0,22,29,65,25,shake
0.763,0.552,-0.990,-3.074,-0.144,-2.433,0,22,29,65,24,shake
0.735,0.544,-0.944,-3.098,-0.180,-2.426,0,24,27,65,23,shake
0.699,0.553,-0.903,-2.998,-0.258,-2.426,0,23,30,66,22,shake
0.592,0.490,-0.840,-2.880,-0.501,-2.440,0,23,29,63,22,shake
0.546,0.417,-0.790,-2.857,-0.767,-2.457,0,24,27,63,21,shake
0.485,0.344,-0.674,-2.757,-1.019,-2.462,0,25,28,62,22,shake
0.419,0.257,-0.616,-2.734,-1.313,-2.430,0,25,26,61,22,shake
0.366,0.219,-0.566,-2.708,-1.571,-2.353,0,24,27,59,22,shake
0.311,0.193,-0.469,-2.518,-1.751,-2.263,0,26,25,54,22,shake
0.267,0.110,-0.381,-2.386,-1.855,-2.145,0,25,25,53,22,shake
0.226,0.086,-0.381,-2.294,-1.804,-2.031,0,25,26,54,20,shake
0.200,0.077,-0.332,-2.106,-1.768,-1.861,0,25,25,53,22,shake
0.183,0.041,-0.298,-1.832,-1.764,-1.711,0,25,26,53,25,shake
0.171,-0.005,-0.259,-1.665,-1.746,-1.568,0,26,25,51,26,shake
0.166,-0.038,-0.228,-1.442,-1.737,-1.451,0,25,23,51,23,shake
0.138,-0.075,-0.194,-1.185,-1.744,-1.296,0,25,22,51,24,shake
0.095,-0.105,-0.176,-0.955,-1.738,-1.119,0,26,21,50,22,shake
0.040,-0.135,-0.136,-0.749,-1.682,-0.927,0,24,21,50,15,shake
0.001,-0.159,-0.121,-0.518,-1.492,-0.722,0,26,22,50,14,shake
-0.041,-0.179,-0.095,-0.305,-1.134,-0.506,0,26,20,50,18,shake
-0.049,-0.191,-0.080,-0.050,-0.719,-0.276,0,26,20,50,17,shake
-0.057,-0.215,-0.073,0.193,-0.337,-0.042,0,27,20,49,14,shake
-0.041,-0.229,-0.064,0.367,-0.019,0.217,0,27,21,50,14,shake
-0.018,-0.224,-0.069,0.552,0.181,0.482,0,27,21,51,14,shake
-0.004,-0.212,-0.067,0.738,0.304,0.763,0,27,22,51,14,shake
0.021,-0.205,-0.059,0.917,0.355,1.043,0,27,21,52,14,shake
0.028,-0.179,-0.058,1.096,0.344,1.317,0,27,21,54,14,shake
0.034,-0.149,-0.045,1.283,0.304,1.587,0,27,21,54,14,shake
0.033,-0.108,-0.042,1.497,0.246,1.893,0,27,21,57,14,shake
0.018,-0.045,-0.033,1.709,0.235,2.216,0,27,22,60,14,shake
0.011,-0.001,-0.050,1.942,0.311,2.518,0,27,22,64,14,shake
-0.003,0.055,-0.056,2.157,0.477,2.795,0,27,22,66,14,shake
-0.006,0.106,-0.122,2.352,0.832,3.097,0,27,22,66,14,shake
-0.005,0.169,-0.161,2.594,1.445,3.361,0,27,25,66,14,shake
0.042,0.226,-0.214,2.763,2.075,3.591,0,27,25,67,13,shake
0.127,0.319,-0.325,2.922,2.554,3.757,0,27,25,66,14,shake
0.306,0.460,-0.396,3.105,2.666,3.852,0,28,27,67,14,shake
0.474,0.555,-0.530,3.324,2.441,3.931,0,28,27,67,18,shake
0.557,0.674,-0.666,3.491,2.046,3.978,0,28,29,68,22,shake
0.634,0.864,-0.818,3.670,1.729,3.843,0,27,29,69,18,shake
0.616,1.310,-0.874,3.801,1.421,3.701,0,27,31,69,14,shake
0.854,1.249,-1.435,4.366,2.469,3.463,0,26,31,66,14,shake
0.986,1.419,-1.701,4.366,3.380,2.875,0,27,31,70,14,shake
2.000,0.173,-1.831,4.366,3.547,2.048,0,27,31,69,18,shake
1.480,1.482,-1.784,3.246,2.809,2.432,0,26,33,69,22,shake
1.504,1.229,-2.000,2.590,1.551,2.247,0,24,31,65,19,shake
1.479,1.083,-2.000,1.164,0.285,2.188,0,21,29,63,22,shake
1.357,1.170,-1.788,0.368,-0.865,1.966,0,19,29,63,22,shake
1.181,1.224,-1.765,0.243,-1.523,1.452,0,20,29,61,23,shake
1.193,1.238,-1.679,0.187,-1.582,0.790,0,21,29,61,17,shake
1.262,1.210,-1.601,0.254,-1.330,0.204,0,21,29,62,19,shake
1.299,1.044,-1.496,-0.141,-1.065,-0.155,0,21,30,61,21,shake
1.280,0.942,-1.501,-0.757,-0.740,-0.434,0,21,30,57,22,shake
1.258,0.921,-1.445,-1.215,-0.300,-0.742,0,21,30,57,21,shake
1.240,0.917,-1.336,-1.691,0.176,-0.991,0,21,30,58,21,shake
1.198,0.865,-1.300,-1.966,0.487,-1.243,0,21,29,58,23,shake
1.145,0.839,-1.221,-2.204,0.560,-1.437,0,20,29,59,24,shake
1.103,0.787,-1.201,-2.357,0.462,-1.600,0,19,29,60,23,shake
1.096,0.807,-1.201,-2.458,0.320,-1.766,0,20,29,62,23,shake
