acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.938,0.014,-0.303,-0.035,-0.007,0.051,0,29,35,90,33,shake
0.946,0.010,-0.306,-0.039,-0.006,0.056,0,29,34,92,33,shake
0.959,0.013,-0.305,-0.049,-0.018,0.059,0,30,34,92,31,shake
0.956,0.000,-0.306,-0.064,-0.042,0.064,0,30,34,91,33,shake
0.948,-0.002,-0.295,-0.071,-0.062,0.060,0,30,34,91,33,shake
0.931,-0.006,-0.294,-0.086,-0.064,0.056,0,29,35,91,33,shake
0.913,-0.029,-0.292,-0.085,-0.055,0.065,0,29,34,91,33,shake
0.904,-0.027,-0.298,-0.088,-0.044,0.086,0,29,34,90,33,shake
0.894,-0.047,-0.293,-0.087,-0.043,0.113,0,29,33,90,33,shake
0.894,-0.060,-0.296,-0.088,-0.050,0.139,0,29,35,90,33,shake
0.887,-0.059,-0.292,-0.087,-0.065,0.163,0,29,34,90,33,shake
0.889,-0.065,-0.294,-0.084,-0.082,0.187,0,30,34,89,31,shake
0.898,-0.061,-0.307,-0.084,-0.100,0.207,0,29,34,90,33,shake
0.909,-0.060,-0.300,-0.099,-0.100,0.224,0,29,34,89,31,shake
0.930,-0.055,-0.301,-0.127,-0.087,0.242,0,29,34,89,31,shake
0.950,-0.042,-0.316,-0.158,-0.057,0.243,0,29,34,89,33,shake
0.974,-0.035,-0.312,-0.181,-0.012,0.229,0,34,34,89,31,shake
0.997,-0.049,-0.312,-0.186,0.016,0.198,0,29,33,88,31,shake
1.007,-0.035,-0.276,-0.189,0.023,0.167,0,30,34,87,33,shake
1.039,-0.054,-0.281,-0.170,0.036,0.117,0,29,34,86,33,shake
1.069,-0.043,-0.272,-0.158,0.037,0.078,0,29,33,86,31,shake
1.106,-0.034,-0.262,-0.129,0.027,0.037,0,29,34,84,31,shake
1.147,-0.009,-0.276,-0.090,-0.014,-0.011,0,28,33,83,31,shake
1.204,-0.001,-0.292,-0.037,-0.062,-0.107,0,29,33,84,31,shake
1.254,0.010,-0.309,0.042,-0.158,-0.260,0,28,33,83,31,shake
1.294,0.005,-0.324,0.104,-0.274,-0.389,0,29,33,82,31,shake
1.320,0.011,-0.352,0.145,-0.304,-0.497,0,27,33,82,31,shake
1.320,0.010,-0.353,0.095,-0.314,-0.584,0,28,33,82,33,shake
1.302,-0.031,-0.370,-0.012,-0.272,-0.709,0,28,33,83,33,shake
1.263,-0.052,-0.356,-0.157,-0.169,-0.825,0,29,33,83,33,shake
1.222,-0.043,-0.352,-0.273,-0.036,-0.934,0,29,34,82,33,shake
1.214,-0.031,-0.335,-0.358,0.095,-1.020,0,28,33,83,31,shake
1.212,-0.019,-0.353,-0.400,0.100,-1.094,0,29,34,83,31,shake
1.210,-0.007,-0.352,-0.410,0.029,-1.192,0,28,34,83,33,shake
1.204,0.008,-0.357,-0.387,-0.086,-1.291,0,29,33,82,31,shake
1.180,0.018,-0.365,-0.356,-0.209,-1.379,0,29,34,83,31,shake
1.134,0.008,-0.354,-0.322,-0.340,-1.470,0,29,34,82,31,shake
1.074,-0.019,-0.339,-0.293,-0.426,-1.530,0,28,34,83,31,shake
1.035,-0.040,-0.332,-0.280,-0.433,-1.567,0,29,34,82,31,shake
0.981,-0.043,-0.311,-0.311,-0.389,-1.554,0,29,34,83,31,shake
0.943,-0.061,-0.323,-0.349,-0.272,-1.533,0,29,34,82,35,shake
0.927,-0.065,-0.299,-0.399,-0.134,-1.534,0,29,34,82,31,shake
0.902,-0.099,-0.301,-0.461,-0.029,-1.577,0,29,34,82,31,shake
0.884,-0.110,-0.299,-0.502,0.041,-1.585,0,30,33,82,31,shake
0.873,-0.111,-0.276,-0.529,0.060,-1.517,0,29,34,81,31,shake
0.854,-0.110,-0.281,-0.518,0.041,-1.515,0,31,34,82,32,shake
0.830,-0.115,-0.273,-0.468,-0.025,-1.488,0,29,33,82,31,shake
0.787,-0.139,-0.268,-0.398,-0.146,-1.463,0,29,34,83,31,shake
0.727,-0.162,-0.272,-0.311,-0.254,-1.443,0,29,34,84,32,shake
0.659,-0.190,-0.247,-0.207,-0.337,-1.375,0,29,33,82,32,shake
0.587,-0.214,-0.222,-0.127,-0.391,-1.262,0,28,33,83,33,shake
0.522,-0.245,-0.221,-0.073,-0.400,-1.123,0,29,33,86,32,shake
0.462,-0.257,-0.208,-0.051,-0.360,-0.957,0,29,33,84,33,shake
0.398,-0.246,-0.178,-0.060,-0.241,-0.746,0,28,33,84,33,shake
0.342,-0.223,-0.163,-0.088,-0.066,-0.492,0,30,34,85,33,shake
0.285,-0.240,-0.192,-0.125,0.076,-0.187,0,29,34,87,32,shake
0.263,-0.191,-0.167,-0.100,0.257,0.085,0,29,34,87,31,shake
0.218,-0.195,-0.171,-0.075,0.401,0.374,0,27,34,88,31,shake
0.154,-0.204,-0.173,-0.029,0.480,0.677,0,29,34,88,31,shake
0.083,-0.220,-0.167,0.055,0.520,0.974,0,29,34,88,31,shake
-0.006,-0.235,-0.144,0.165,0.534,1.292,0,28,34,89,31,shake
