acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.198,-0.444,0.114,-0.764,-0.577,-0.593,94,39,102,189,390,spiderman
0.183,-0.537,0.160,-0.693,-0.222,-0.352,95,42,99,197,387,spiderman
0.162,-0.606,0.164,-0.702,0.119,-0.080,94,41,101,187,385,spiderman
0.198,-0.638,0.211,-0.760,0.438,0.217,93,41,101,189,386,spiderman
0.292,-0.683,0.270,-0.785,0.592,0.448,97,43,102,189,390,spiderman
0.453,-0.684,0.311,-0.805,0.708,0.655,98,41,102,189,390,spiderman
0.627,-0.680,0.351,-0.748,0.746,0.782,98,41,102,190,392,spiderman
0.760,-0.662,0.354,-0.662,0.665,0.824,98,41,103,189,392,spiderman
0.875,-0.636,0.377,-0.427,0.489,0.807,100,41,102,189,391,spiderman
0.963,-0.646,0.345,-0.173,0.317,0.761,97,41,103,190,392,spiderman
1.043,-0.650,0.295,-0.010,0.260,0.698,97,41,102,189,392,spiderman
1.092,-0.646,0.236,0.123,0.249,0.600,97,41,102,190,391,spiderman
1.150,-0.624,0.146,0.132,0.310,0.522,98,41,103,190,392,spiderman
1.195,-0.592,0.095,0.129,0.376,0.430,100,41,103,191,393,spiderman
1.247,-0.558,0.028,0.082,0.458,0.315,100,42,105,190,394,spiderman
1.296,-0.523,0.018,-0.033,0.489,0.170,99,41,103,193,396,spiderman
1.327,-0.487,0.009,-0.131,0.391,-0.012,100,41,103,194,396,spiderman
1.324,-0.463,0.006,-0.170,0.203,-0.222,101,42,103,194,395,spiderman
1.282,-0.437,0.007,-0.209,0.020,-0.387,102,41,103,194,396,spiderman
1.213,-0.413,0.036,-0.215,-0.144,-0.533,102,41,105,194,396,spiderman
1.150,-0.400,0.050,-0.177,-0.235,-0.637,101,41,103,194,396,spiderman
1.088,-0.396,0.074,-0.146,-0.327,-0.690,101,41,103,194,396,spiderman
1.036,-0.402,0.091,-0.119,-0.373,-0.733,101,42,103,194,396,spiderman
0.981,-0.422,0.087,-0.078,-0.381,-0.769,101,41,103,193,396,spiderman
0.925,-0.428,0.108,-0.043,-0.338,-0.787,101,41,102,193,397,spiderman
0.881,-0.450,0.125,-0.012,-0.252,-0.786,100,41,102,193,397,spiderman
0.873,-0.477,0.139,-0.001,-0.150,-0.765,99,41,102,193,395,spiderman
