acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.163,-1.000,-0.046,-0.244,-0.059,0.150,110,71,81,166,433,spiderman
0.184,-0.986,-0.023,-0.221,-0.059,0.133,108,70,81,165,431,spiderman
0.201,-0.957,-0.006,-0.147,-0.074,0.077,111,70,78,165,429,spiderman
0.212,-0.972,0.010,-0.031,-0.071,0.001,107,70,78,165,431,spiderman
0.202,-1.002,0.014,-0.004,-0.060,-0.035,103,70,78,166,431,spiderman
0.206,-1.011,0.014,0.004,-0.030,-0.044,103,73,78,165,431,spiderman
0.209,-1.025,0.014,0.043,-0.009,-0.052,101,70,78,165,432,spiderman
0.204,-1.026,0.005,0.041,0.010,-0.046,104,70,78,165,429,spiderman
0.205,-1.027,-0.010,0.036,0.011,-0.056,99,70,78,166,429,spiderman
0.197,-1.012,-0.027,0.039,0.003,-0.074,102,69,78,166,429,spiderman
0.191,-1.008,-0.030,0.048,-0.014,-0.100,100,69,78,166,428,spiderman
0.184,-1.003,-0.036,0.067,-0.016,-0.123,102,69,79,167,430,spiderman
0.174,-1.010,-0.036,0.052,-0.029,-0.128,101,69,77,166,428,spiderman
0.176,-1.018,-0.013,0.051,-0.030,-0.133,102,69,76,166,428,spiderman
0.169,-1.014,-0.030,0.036,-0.033,-0.134,103,69,75,165,428,spiderman
0.175,-1.017,-0.027,0.033,-0.034,-0.143,99,69,76,165,428,spiderman
0.167,-1.010,-0.020,0.043,-0.036,-0.145,100,68,76,164,428,spiderman
0.163,-1.008,-0.027,0.038,-0.022,-0.139,99,68,75,166,429,spiderman
0.175,-1.018,-0.021,0.047,-0.015,-0.144,100,68,76,166,429,spiderman
0.178,-1.011,-0.014,0.061,-0.000,-0.151,101,67,75,167,427,spiderman
0.193,-1.013,-0.000,0.086,-0.004,-0.176,101,67,84,166,428,spiderman
0.192,-1.012,0.002,0.126,-0.013,-0.207,101,66,74,166,429,spiderman
0.185,-1.028,0.018,0.151,-0.032,-0.234,101,66,74,165,429,spiderman
0.170,-1.034,0.007,0.155,-0.043,-0.244,99,66,74,167,429,spiderman
0.167,-1.034,0.005,0.159,-0.047,-0.245,100,67,73,165,429,spiderman
0.150,-1.031,-0.005,0.180,-0.049,-0.243,100,69,74,165,427,spiderman
0.146,-1.039,-0.016,0.186,-0.052,-0.226,98,67,73,164,427,spiderman
0.160,-1.037,0.002,0.201,-0.016,-0.224,101,67,74,164,427,spiderman
0.168,-1.053,-0.011,0.255,-0.003,-0.234,101,68,73,166,429,spiderman
0.200,-1.067,-0.015,0.300,0.037,-0.256,99,66,71,163,427,spiderman
0.206,-1.070,-0.024,0.321,0.048,-0.279,98,66,71,162,425,spiderman
0.212,-1.066,-0.024,0.339,0.075,-0.324,98,66,69,162,425,spiderman
0.205,-1.057,-0.042,0.357,0.070,-0.376,98,66,69,163,426,spiderman
0.196,-1.050,-0.046,0.370,0.086,-0.423,98,66,69,162,426,spiderman
0.189,-1.048,-0.048,0.375,0.087,-0.455,98,66,68,164,429,spiderman
0.180,-1.050,-0.066,0.389,0.132,-0.487,97,66,68,165,427,spiderman
0.178,-1.051,-0.058,0.381,0.172,-0.506,97,66,68,164,426,spiderman
0.162,-1.039,-0.072,0.392,0.208,-0.545,97,66,67,165,426,spiderman
0.147,-1.038,-0.090,0.435,0.236,-0.591,97,66,67,164,426,spiderman
0.129,-1.034,-0.114,0.450,0.260,-0.627,98,65,66,164,427,spiderman
0.081,-1.054,-0.155,0.468,0.284,-0.652,95,65,67,164,425,spiderman
0.041,-1.030,-0.211,0.429,0.315,-0.639,97,69,66,163,421,spiderman
0.020,-1.022,-0.238,0.424,0.341,-0.643,95,66,66,162,422,spiderman
-0.016,-1.003,-0.291,0.370,0.375,-0.633,95,66,66,162,422,spiderman
-0.032,-0.995,-0.305,0.319,0.410,-0.621,95,66,65,185,421,spiderman
-0.059,-0.998,-0.328,0.266,0.433,-0.625,94,66,66,163,420,spiderman
-0.080,-1.001,-0.300,0.185,0.397,-0.662,94,66,65,163,418,spiderman
-0.085,-1.035,-0.260,0.126,0.304,-0.716,94,65,65,163,418,spiderman
-0.110,-1.058,-0.256,0.067,0.184,-0.754,94,65,65,163,415,spiderman
-0.131,-1.090,-0.259,0.062,0.106,-0.753,94,66,65,162,415,spiderman
-0.152,-1.170,-0.259,0.083,0.130,-0.718,95,67,65,163,417,spiderman
-0.130,-1.196,-0.297,0.076,0.255,-0.657,98,67,65,162,417,spiderman
-0.086,-1.211,-0.299,0.142,0.448,-0.698,95,65,65,162,417,spiderman
-0.023,-1.213,-0.249,0.208,0.578,-0.886,99,68,65,163,416,spiderman
-0.055,-1.244,-0.277,0.299,0.515,-1.165,99,67,66,164,417,spiderman
-0.156,-1.226,-0.308,0.390,0.235,-1.464,99,68,66,165,417,spiderman
-0.332,-1.213,-0.432,0.497,-0.089,-1.641,99,69,65,164,414,spiderman
-0.603,-1.165,-0.618,0.551,-0.374,-1.552,98,69,65,162,410,spiderman
-0.980,-1.056,-0.903,0.492,-0.493,-1.132,101,70,63,158,411,spiderman
-1.341,-1.006,-1.374,0.157,-0.306,-0.318,93,69,57,152,408,spiderman
-1.547,-1.036,-1.884,-0.575,0.259,0.533,88,67,46,148,398,spiderman
-1.400,-1.089,-2.000,-1.939,0.990,1.076,78,66,45,145,380,spiderman
-0.809,-0.735,-2.000,-4.268,1.215,0.752,36,63,36,142,353,spiderman
-0.770,-0.550,-1.864,-4.366,0.212,0.656,0,31,29,122,313,spiderman
-1.637,-0.701,-0.946,-4.366,-1.000,1.498,0,14,15,99,229,spiderman
-1.215,-1.330,-0.786,-4.366,-1.407,1.048,0,0,4,73,126,spiderman
-0.718,-1.303,-0.757,-4.366,-1.007,1.072,0,0,0,25,29,spiderman
-0.695,-0.931,-0.686,-4.366,0.439,1.995,0,0,0,0,0,spiderman
-0.524,-0.634,-0.907,-4.366,2.137,2.908,0,0,3,0,9,spiderman
-0.606,-0.935,0.144,-4.366,2.362,4.134,0,0,59,19,38,spiderman
