acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.383,0.960,-0.126,0.964,1.551,0.031,0,0,0,0,0,none
0.399,0.892,-0.139,0.968,1.640,-0.020,0,0,0,0,0,none
0.427,0.836,-0.131,0.871,1.604,-0.081,0,0,0,0,0,none
0.438,0.804,-0.150,0.702,1.442,-0.131,0,0,0,0,0,none
0.440,0.794,-0.139,0.505,1.202,-0.182,0,0,0,0,0,none
0.432,0.801,-0.124,0.327,0.940,-0.224,0,0,0,0,0,none
0.415,0.816,-0.119,0.195,0.697,-0.248,0,0,0,0,0,none
0.398,0.839,-0.100,0.101,0.472,-0.239,0,0,0,0,0,none
0.382,0.857,-0.097,0.039,0.254,-0.210,0,0,0,0,0,none
0.365,0.861,-0.080,0.013,0.073,-0.174,0,0,0,0,0,none
0.352,0.859,-0.065,-0.006,-0.078,-0.120,0,0,0,0,0,none
0.345,0.850,-0.066,-0.019,-0.201,-0.056,0,0,0,0,0,none
0.334,0.836,-0.070,-0.042,-0.300,0.014,0,0,0,0,0,none
0.329,0.831,-0.053,-0.060,-0.363,0.066,0,0,0,0,0,none
0.330,0.821,-0.055,-0.102,-0.358,0.099,0,0,0,0,0,none
0.323,0.814,-0.049,-0.108,-0.451,0.153,0,0,0,0,0,none
0.321,0.819,-0.036,-0.129,-0.466,0.186,0,0,0,0,0,none
0.333,0.821,-0.040,-0.154,-0.464,0.226,0,0,0,0,0,none
0.324,0.830,-0.031,-0.166,-0.441,0.265,0,0,0,0,0,none
0.325,0.851,-0.017,-0.177,-0.354,0.293,0,0,0,0,0,none
0.331,0.867,-0.021,-0.144,-0.313,0.320,0,0,0,0,0,none
0.334,0.880,-0.014,-0.120,-0.234,0.345,0,0,0,0,0,none
0.342,0.880,-0.019,-0.093,-0.157,0.368,0,0,0,0,0,none
0.344,0.876,-0.008,-0.061,-0.082,0.375,0,0,0,0,0,none
0.370,0.861,-0.005,-0.052,-0.007,0.375,0,0,0,0,0,none
0.381,0.848,-0.017,-0.039,-0.007,0.367,0,0,0,0,0,none
0.397,0.840,-0.010,-0.054,-0.035,0.351,0,0,0,0,0,none
0.408,0.836,-0.006,-0.083,-0.092,0.334,0,0,0,0,0,none
0.410,0.845,0.008,-0.119,-0.155,0.311,0,0,0,0,0,none
0.407,0.858,0.015,-0.163,-0.199,0.291,0,0,0,0,0,none
0.397,0.887,0.046,-0.185,-0.262,0.284,0,0,0,0,0,none
0.384,0.920,0.048,-0.178,-0.268,0.274,0,0,0,0,0,none
0.387,0.944,0.045,-0.133,-0.232,0.274,0,0,0,0,0,none
0.394,0.959,0.040,-0.061,-0.171,0.256,0,0,0,0,0,none
0.397,0.972,0.045,0.032,-0.111,0.250,0,0,0,0,0,none
0.408,0.956,0.027,0.134,-0.011,0.216,0,0,0,0,0,none
0.413,0.949,0.022,0.208,0.091,0.168,0,0,0,0,0,none
0.420,0.928,0.012,0.258,0.183,0.098,0,0,0,0,0,none
0.422,0.914,0.013,0.276,0.252,0.029,0,0,0,0,0,none
0.427,0.900,0.013,0.248,0.304,-0.044,0,0,0,0,0,none
0.435,0.892,0.023,0.207,0.331,-0.119,0,0,0,0,0,none
