acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.006,-0.114,0.895,-0.017,-0.029,-0.021,158,41,47,191,367,none
0.002,-0.112,0.902,-0.027,-0.032,-0.019,159,41,47,191,366,none
0.002,-0.112,0.907,-0.024,-0.036,-0.015,158,41,47,191,367,none
-0.010,-0.111,0.910,-0.027,-0.023,-0.013,161,41,47,191,367,none
-0.009,-0.102,0.910,-0.025,-0.014,-0.007,159,41,47,190,366,none
-0.001,-0.100,0.905,-0.015,-0.012,-0.010,159,41,47,191,367,none
-0.000,-0.098,0.905,-0.022,-0.015,-0.010,157,41,47,190,367,none
0.007,-0.103,0.906,-0.015,-0.019,-0.011,158,41,47,191,368,none
0.004,-0.103,0.899,-0.015,-0.003,-0.021,159,41,47,191,366,none
0.011,-0.106,0.897,-0.024,0.003,-0.020,158,41,47,191,363,none
0.021,-0.105,0.906,-0.016,-0.006,-0.020,159,41,47,191,367,none
0.018,-0.105,0.915,-0.012,-0.024,-0.029,159,41,47,190,367,none
0.014,-0.105,0.906,-0.015,-0.032,-0.028,161,41,46,191,366,none
0.018,-0.110,0.914,-0.020,-0.028,-0.031,158,40,47,191,367,none
0.019,-0.104,0.907,-0.013,-0.022,-0.032,158,41,46,191,368,none
0.011,-0.106,0.918,-0.005,-0.034,-0.034,161,41,47,191,367,none
0.001,-0.106,0.907,0.003,-0.034,-0.031,160,42,47,191,367,none
0.004,-0.109,0.911,-0.008,-0.036,-0.029,161,41,47,191,367,none
0.000,-0.104,0.900,-0.004,-0.035,-0.029,160,41,47,191,367,none
0.005,-0.107,0.897,-0.003,-0.033,-0.024,161,41,47,190,368,none
0.004,-0.104,0.897,-0.013,-0.028,-0.028,158,41,46,190,367,none
0.002,-0.104,0.901,-0.010,-0.020,-0.030,159,41,47,190,367,none
-0.002,-0.105,0.902,-0.006,-0.020,-0.025,159,41,47,190,368,none
0.002,-0.100,0.898,-0.008,-0.022,-0.023,161,42,46,190,367,none
-0.004,-0.110,0.898,-0.003,-0.023,-0.025,159,41,47,191,367,none
0.009,-0.110,0.911,-0.006,-0.022,-0.027,159,41,47,194,367,none
0.011,-0.108,0.906,-0.012,-0.038,-0.018,161,41,47,190,367,none
0.006,-0.104,0.893,-0.011,-0.053,-0.016,161,42,47,190,367,none
-0.001,-0.102,0.886,-0.002,-0.052,-0.011,159,41,47,191,369,none
-0.003,-0.107,0.897,-0.003,-0.035,-0.010,158,41,47,191,368,none
0.002,-0.099,0.894,-0.011,-0.010,-0.009,159,41,47,191,367,none
0.012,-0.104,0.896,-0.007,-0.007,-0.010,159,41,46,190,367,none
