acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.788,-0.558,0.142,-0.004,-0.036,-0.143,24,9,24,99,286,none
0.804,-0.562,0.146,-0.014,-0.053,-0.169,37,8,25,103,290,none
0.779,-0.565,0.157,-0.011,-0.103,-0.168,41,9,25,108,292,none
0.761,-0.577,0.150,-0.006,-0.096,-0.158,45,9,26,107,291,none
0.766,-0.578,0.152,-0.027,-0.057,-0.141,45,8,25,108,293,none
0.769,-0.571,0.146,-0.052,-0.008,-0.145,46,8,28,106,291,none
0.787,-0.559,0.147,-0.038,-0.038,-0.189,54,9,29,104,294,none
0.772,-0.559,0.159,0.011,-0.087,-0.216,58,10,29,106,300,none
0.765,-0.570,0.138,0.013,-0.103,-0.192,61,9,29,105,301,none
0.765,-0.564,0.162,0.017,-0.046,-0.193,61,9,30,107,302,none
0.801,-0.573,0.152,0.051,-0.013,-0.221,61,9,30,108,301,none
0.773,-0.580,0.154,0.047,-0.037,-0.223,65,10,29,107,302,none
0.758,-0.595,0.145,0.033,-0.068,-0.190,65,11,29,109,303,none
0.760,-0.591,0.147,-0.015,-0.040,-0.165,67,11,30,105,302,none
0.772,-0.574,0.156,-0.034,-0.041,-0.180,67,10,29,105,301,none
0.745,-0.580,0.163,-0.015,-0.049,-0.181,67,11,30,106,301,none
0.744,-0.583,0.159,-0.017,-0.051,-0.162,66,12,31,106,300,none
0.762,-0.582,0.159,-0.013,-0.037,-0.161,67,12,31,110,298,none
0.750,-0.583,0.165,-0.000,-0.019,-0.159,72,11,32,110,297,none
0.738,-0.600,0.154,-0.015,-0.046,-0.122,75,10,31,113,297,none
0.746,-0.593,0.159,-0.021,0.019,-0.105,71,10,33,115,296,none
0.757,-0.591,0.167,-0.025,0.050,-0.091,74,10,33,118,296,none
0.749,-0.588,0.164,-0.024,0.038,-0.070,74,10,34,124,297,none
0.761,-0.580,0.172,-0.014,0.011,-0.074,74,11,34,124,295,none
0.772,-0.584,0.153,0.006,-0.036,-0.088,78,11,34,124,294,none
0.745,-0.580,0.160,0.004,-0.065,-0.090,81,11,35,129,295,none
0.781,-0.574,0.163,-0.004,-0.109,-0.090,81,11,35,134,296,none
0.749,-0.581,0.156,0.030,-0.116,-0.097,83,11,34,133,298,none
0.740,-0.574,0.170,0.053,-0.072,-0.090,84,10,36,137,298,none
0.779,-0.581,0.161,0.086,-0.032,-0.081,81,10,35,136,299,none
0.754,-0.602,0.165,0.107,-0.039,-0.077,81,10,36,135,297,none
0.755,-0.605,0.142,0.050,-0.048,-0.062,78,10,36,135,299,none
0.781,-0.595,0.156,0.038,-0.112,-0.073,73,11,37,134,300,none
0.754,-0.609,0.161,0.024,-0.132,-0.073,75,11,37,135,298,none
0.756,-0.606,0.134,-0.030,-0.150,-0.066,77,10,38,130,299,none
0.764,-0.599,0.147,-0.046,-0.191,-0.062,78,11,39,131,301,none
0.735,-0.586,0.160,-0.031,-0.178,-0.054,77,11,38,134,301,none
0.719,-0.577,0.158,-0.007,-0.140,-0.036,79,11,39,134,301,none
0.721,-0.579,0.166,0.042,-0.062,-0.018,82,12,40,135,302,none
0.737,-0.594,0.158,0.041,0.008,-0.008,82,9,40,135,299,none
0.743,-0.603,0.159,0.017,-0.003,0.002,78,11,41,137,302,none
0.752,-0.597,0.165,0.010,-0.048,0.010,79,12,38,138,302,none
0.746,-0.594,0.178,0.015,-0.075,0.006,81,13,42,138,302,none
0.741,-0.595,0.161,0.024,-0.078,0.013,78,12,42,138,301,none
0.737,-0.590,0.158,0.031,-0.056,0.020,81,13,42,139,302,none
0.757,-0.578,0.170,0.067,-0.044,0.008,81,11,42,139,302,none
0.761,-0.586,0.170,0.120,-0.036,0.002,82,13,42,139,298,none
0.761,-0.584,0.167,0.131,-0.064,0.019,82,13,42,139,297,none
0.765,-0.583,0.167,0.178,-0.054,0.009,81,13,42,137,298,none
