acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.815,-0.546,0.077,0.002,-0.012,-0.039,66,35,37,101,311,none
0.817,-0.545,0.090,0.004,-0.014,-0.035,66,36,36,101,312,none
0.812,-0.549,0.082,-0.016,-0.032,-0.033,66,34,36,101,310,none
0.824,-0.549,0.084,-0.019,-0.022,-0.046,66,35,36,101,309,none
0.823,-0.545,0.096,-0.019,-0.029,-0.048,66,35,36,102,310,none
0.829,-0.545,0.101,-0.021,-0.036,-0.048,66,35,37,103,311,none
0.819,-0.546,0.097,-0.012,-0.032,-0.049,67,35,37,103,311,none
0.822,-0.551,0.087,-0.015,-0.018,-0.045,68,35,36,102,311,none
0.820,-0.546,0.091,-0.021,-0.007,-0.048,67,35,36,102,310,none
0.821,-0.543,0.089,-0.024,-0.017,-0.057,66,35,36,102,311,none
0.819,-0.545,0.093,-0.011,-0.033,-0.059,66,35,37,101,311,none
0.813,-0.546,0.094,-0.020,-0.046,-0.060,66,35,37,102,311,none
0.809,-0.547,0.087,-0.024,-0.052,-0.068,66,35,36,102,310,none
0.803,-0.552,0.095,-0.029,-0.054,-0.067,66,35,37,103,311,none
0.805,-0.541,0.094,-0.020,-0.063,-0.063,66,34,37,102,311,none
0.798,-0.550,0.091,-0.013,-0.061,-0.060,66,35,37,103,311,none
0.805,-0.545,0.093,-0.028,-0.056,-0.054,67,35,37,103,311,none
0.810,-0.542,0.095,-0.028,-0.053,-0.056,67,34,37,99,309,none
0.815,-0.546,0.088,-0.019,-0.061,-0.051,68,35,37,102,311,none
0.813,-0.543,0.090,-0.013,-0.061,-0.053,68,35,36,102,311,none
0.809,-0.546,0.085,-0.017,-0.058,-0.055,69,35,36,102,311,none
0.818,-0.539,0.091,-0.013,-0.056,-0.064,69,35,37,102,311,none
0.810,-0.544,0.087,-0.007,-0.062,-0.063,67,35,36,102,311,none
0.810,-0.536,0.089,0.002,-0.063,-0.068,68,35,36,102,310,none
0.810,-0.541,0.086,0.003,-0.052,-0.077,69,35,36,102,311,none
0.802,-0.541,0.076,-0.004,-0.048,-0.068,69,35,37,101,310,none
0.801,-0.546,0.076,0.001,-0.043,-0.066,69,35,37,101,311,none
0.796,-0.543,0.079,-0.000,-0.041,-0.061,69,35,37,101,310,none
0.792,-0.543,0.070,-0.001,-0.044,-0.060,66,35,37,102,310,none
0.796,-0.544,0.066,-0.004,-0.046,-0.057,69,35,36,101,310,none
0.790,-0.540,0.069,-0.014,-0.050,-0.052,68,35,36,102,311,none
0.790,-0.541,0.080,-0.012,-0.052,-0.048,67,35,36,102,310,none
0.799,-0.541,0.073,-0.018,-0.054,-0.044,67,35,36,102,310,none
0.799,-0.539,0.078,-0.028,-0.050,-0.038,68,35,37,102,310,none
0.797,-0.549,0.075,-0.032,-0.038,-0.049,68,34,36,101,311,none
0.809,-0.534,0.083,-0.046,-0.036,-0.048,68,35,36,102,311,none
0.812,-0.538,0.080,-0.034,-0.043,-0.052,68,35,36,102,310,none
0.807,-0.528,0.090,-0.030,-0.045,-0.053,68,34,37,102,310,none
0.808,-0.536,0.084,-0.022,-0.041,-0.050,68,35,37,102,311,none
0.798,-0.540,0.103,-0.021,-0.034,-0.046,68,35,37,102,311,none
0.798,-0.543,0.087,-0.014,-0.023,-0.043,69,35,37,101,311,none
0.795,-0.546,0.093,-0.028,-0.020,-0.035,69,35,36,102,310,none
0.794,-0.542,0.086,-0.035,-0.027,-0.033,70,35,36,103,311,none
0.794,-0.542,0.101,-0.025,-0.039,-0.026,68,35,37,102,311,none
0.801,-0.542,0.089,-0.009,-0.044,-0.020,69,34,36,103,311,none
0.797,-0.553,0.104,-0.013,-0.040,-0.015,70,35,36,103,312,none
0.799,-0.554,0.102,-0.017,-0.032,-0.015,70,34,37,103,311,none
0.800,-0.548,0.099,-0.030,-0.031,-0.022,69,35,37,103,313,none
0.807,-0.545,0.113,-0.032,-0.039,-0.027,69,35,37,103,312,none
0.801,-0.541,0.112,-0.021,-0.049,-0.029,70,35,37,103,312,none
0.799,-0.544,0.115,-0.011,-0.051,-0.026,69,35,37,103,312,none
0.798,-0.542,0.106,0.002,-0.042,-0.019,69,35,37,104,311,none
0.801,-0.553,0.114,0.013,-0.030,-0.012,70,35,37,103,311,none
0.807,-0.553,0.095,0.015,-0.019,-0.014,70,35,36,103,312,none
0.806,-0.548,0.106,0.024,-0.032,-0.014,70,35,37,104,311,none
0.807,-0.544,0.106,0.027,-0.039,-0.015,69,35,37,103,312,none
0.805,-0.548,0.098,0.041,-0.044,-0.017,70,35,36,103,312,none
0.807,-0.556,0.090,0.039,-0.042,-0.025,70,35,37,103,312,none
0.803,-0.549,0.086,0.033,-0.033,-0.031,70,35,35,104,313,none
0.807,-0.545,0.090,0.042,-0.042,-0.035,70,34,36,103,312,none
0.805,-0.556,0.086,0.035,-0.044,-0.032,70,35,36,103,313,none
0.804,-0.559,0.079,0.018,-0.043,-0.037,70,34,36,103,313,none
0.808,-0.538,0.093,0.023,-0.046,-0.038,70,35,36,104,313,none
0.799,-0.544,0.079,0.039,-0.049,-0.036,69,38,37,105,313,none
0.797,-0.546,0.086,0.034,-0.032,-0.035,69,35,36,104,313,none
0.793,-0.551,0.077,0.031,-0.026,-0.029,69,34,36,102,312,none
0.798,-0.552,0.094,0.028,-0.022,-0.026,69,35,37,99,312,none
0.796,-0.550,0.081,0.025,-0.027,-0.034,69,34,36,104,313,none
0.803,-0.550,0.085,0.026,-0.029,-0.035,69,34,37,105,313,none
0.802,-0.548,0.087,0.023,-0.037,-0.027,69,35,39,103,313,none
0.796,-0.548,0.094,0.022,-0.035,-0.025,70,34,39,104,312,none
0.799,-0.550,0.082,0.020,-0.027,-0.026,69,34,39,102,312,none
0.802,-0.547,0.087,0.025,-0.019,-0.023,68,34,40,102,311,none
0.792,-0.553,0.077,0.015,-0.006,-0.016,69,34,39,101,312,none
0.796,-0.560,0.104,0.012,-0.000,-0.018,68,34,39,101,309,none
0.796,-0.549,0.081,0.012,-0.007,-0.028,68,34,38,101,309,none
0.805,-0.552,0.077,0.011,-0.016,-0.025,69,34,39,102,308,none
