acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.032,-0.587,0.686,0.006,-0.024,-0.031,0,0,71,150,205,index-finger
0.038,-0.596,0.710,0.010,-0.003,-0.022,0,0,71,149,205,index-finger
0.031,-0.599,0.705,-0.004,-0.011,-0.015,0,0,71,149,205,index-finger
0.038,-0.599,0.711,-0.036,0.002,-0.013,0,0,71,150,205,index-finger
0.036,-0.603,0.701,-0.043,-0.007,-0.012,0,0,71,150,205,index-finger
0.036,-0.599,0.697,-0.060,-0.018,0.006,0,0,70,150,204,index-finger
0.021,-0.593,0.698,-0.073,-0.002,0.022,0,0,71,153,205,index-finger
0.027,-0.580,0.705,-0.057,0.014,0.009,0,0,71,149,204,index-finger
0.043,-0.581,0.707,-0.018,0.010,-0.024,0,0,69,150,204,index-finger
0.040,-0.582,0.711,0.005,-0.001,-0.045,0,0,71,150,205,index-finger
0.044,-0.596,0.721,-0.011,0.004,-0.031,0,0,71,150,205,index-finger
0.032,-0.602,0.717,-0.039,0.013,-0.010,0,0,71,155,204,index-finger
0.037,-0.599,0.718,-0.058,0.038,0.008,0,0,71,150,205,index-finger
0.025,-0.598,0.713,-0.069,0.066,0.017,0,0,70,150,204,index-finger
0.030,-0.600,0.718,-0.070,0.096,0.027,0,0,71,150,205,index-finger
0.026,-0.603,0.718,-0.072,0.132,0.046,0,0,70,149,205,index-finger
0.029,-0.602,0.706,-0.082,0.158,0.057,0,0,70,149,203,index-finger
0.012,-0.599,0.709,-0.079,0.177,0.065,0,0,70,149,205,index-finger
0.007,-0.609,0.711,-0.119,0.199,0.098,0,0,70,149,204,index-finger
0.007,-0.604,0.703,-0.101,0.246,0.107,0,0,70,149,206,index-finger
0.001,-0.596,0.724,-0.087,0.305,0.131,0,0,70,149,207,index-finger
-0.008,-0.596,0.726,-0.078,0.377,0.170,0,0,68,147,206,index-finger
-0.008,-0.583,0.732,-0.045,0.519,0.223,0,0,72,148,210,index-finger
0.006,-0.571,0.758,0.055,0.680,0.254,0,0,72,146,210,index-finger
0.031,-0.592,0.775,0.125,0.852,0.291,0,0,71,142,203,index-finger
0.080,-0.613,0.763,0.125,0.952,0.321,0,0,71,139,202,index-finger
0.107,-0.620,0.769,0.096,0.972,0.325,0,0,70,133,199,index-finger
0.118,-0.625,0.758,0.073,0.967,0.279,0,0,69,127,197,index-finger
0.134,-0.596,0.695,-0.037,0.998,0.224,0,0,66,126,193,index-finger
0.154,-0.590,0.684,-0.200,0.998,0.211,0,0,68,126,190,index-finger
0.167,-0.596,0.726,-0.200,0.903,0.137,0,0,60,122,186,index-finger
0.219,-0.601,0.715,-0.188,0.721,0.058,0,0,56,111,184,index-finger
0.233,-0.592,0.681,-0.284,0.470,0.003,0,0,54,110,177,index-finger
0.202,-0.624,0.713,-0.380,0.218,0.010,0,0,44,111,168,index-finger
0.171,-0.619,0.699,-0.452,0.082,0.050,0,0,39,113,163,index-finger
0.146,-0.611,0.700,-0.550,0.063,0.082,0,0,33,113,161,index-finger
0.120,-0.604,0.697,-0.578,0.118,0.120,0,0,27,103,150,index-finger
0.118,-0.606,0.727,-0.555,0.181,0.159,0,0,15,93,142,index-finger
0.125,-0.586,0.735,-0.493,0.194,0.176,0,0,11,87,125,index-finger
0.165,-0.553,0.720,-0.432,0.169,0.165,0,0,7,82,115,index-finger
0.177,-0.530,0.712,-0.430,0.076,0.133,0,0,4,78,109,index-finger
0.175,-0.552,0.732,-0.470,-0.007,0.109,0,0,4,78,110,index-finger
0.171,-0.543,0.721,-0.515,-0.083,0.080,0,0,1,62,107,index-finger
0.182,-0.524,0.714,-0.509,-0.158,0.048,0,0,1,57,89,index-finger
0.167,-0.519,0.712,-0.527,-0.190,0.033,0,0,0,47,89,index-finger
0.158,-0.510,0.707,-0.520,-0.206,0.023,0,0,0,43,84,index-finger
0.155,-0.526,0.742,-0.560,-0.156,0.050,0,0,0,41,62,index-finger
0.153,-0.523,0.787,-0.507,-0.175,0.076,0,0,0,36,55,index-finger
0.148,-0.473,0.746,-0.460,-0.174,0.113,0,0,0,25,39,index-finger
0.130,-0.483,0.748,-0.414,-0.164,0.135,0,0,0,14,34,index-finger
0.119,-0.478,0.744,-0.402,-0.134,0.171,0,0,0,7,27,index-finger
0.114,-0.473,0.739,-0.347,-0.087,0.190,0,0,0,7,25,index-finger
0.120,-0.468,0.720,-0.421,0.002,0.215,0,0,0,0,24,index-finger
0.285,-0.517,0.784,-0.380,-0.060,0.178,0,0,0,0,17,index-finger
0.188,-0.499,0.733,-0.444,-0.129,0.134,0,0,0,0,0,index-finger
