acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.169,-0.341,0.792,0.010,-0.088,-0.028,0,0,55,132,151,index-finger
0.166,-0.342,0.814,0.039,-0.069,-0.043,0,0,55,132,151,index-finger
0.170,-0.355,0.817,0.041,-0.044,-0.048,0,0,55,131,152,index-finger
0.165,-0.348,0.800,0.044,-0.059,-0.056,0,0,56,131,152,index-finger
0.149,-0.347,0.789,0.043,-0.082,-0.062,0,0,57,132,151,index-finger
0.144,-0.358,0.804,0.035,-0.077,-0.057,0,0,57,132,151,index-finger
0.144,-0.364,0.790,0.024,-0.060,-0.040,0,0,57,132,153,index-finger
0.151,-0.364,0.792,0.015,-0.053,-0.029,0,0,57,132,152,index-finger
0.142,-0.367,0.792,0.015,-0.062,-0.021,0,0,58,131,153,index-finger
0.144,-0.371,0.788,0.005,-0.066,-0.024,0,0,58,130,153,index-finger
0.145,-0.368,0.799,0.006,-0.062,-0.032,0,0,58,130,153,index-finger
0.146,-0.371,0.802,0.021,-0.056,-0.034,0,0,58,130,153,index-finger
0.142,-0.382,0.822,0.021,-0.030,-0.024,0,0,58,130,153,index-finger
0.141,-0.393,0.814,-0.015,-0.013,-0.008,0,0,59,130,152,index-finger
0.138,-0.383,0.826,-0.040,-0.014,-0.003,0,0,59,130,153,index-finger
0.145,-0.368,0.816,-0.040,-0.010,-0.009,0,0,58,130,152,index-finger
0.131,-0.375,0.825,-0.028,-0.014,-0.015,0,0,59,130,153,index-finger
0.135,-0.385,0.813,-0.027,-0.013,-0.016,0,0,59,130,153,index-finger
0.127,-0.387,0.818,-0.049,-0.015,-0.015,0,0,58,127,153,index-finger
0.116,-0.383,0.811,-0.065,-0.012,-0.003,0,0,58,126,153,index-finger
0.113,-0.385,0.819,-0.079,0.003,0.012,0,0,58,126,155,index-finger
0.106,-0.384,0.817,-0.102,0.016,0.032,0,0,58,126,156,index-finger
0.121,-0.368,0.824,-0.097,0.017,0.033,0,0,59,126,156,index-finger
0.125,-0.376,0.840,-0.078,0.011,0.035,0,0,60,126,156,index-finger
0.142,-0.381,0.856,-0.073,0.009,0.037,0,0,60,126,156,index-finger
0.135,-0.382,0.856,-0.078,0.000,0.043,0,0,61,126,156,index-finger
0.145,-0.398,0.856,-0.084,-0.005,0.049,0,0,60,125,157,index-finger
0.145,-0.396,0.846,-0.097,-0.023,0.070,0,0,60,125,155,index-finger
0.139,-0.389,0.846,-0.120,-0.013,0.076,0,0,61,124,155,index-finger
0.132,-0.385,0.848,-0.112,0.007,0.059,0,0,58,125,157,index-finger
0.140,-0.379,0.845,-0.101,0.022,0.040,0,0,61,125,155,index-finger
0.143,-0.357,0.854,-0.067,0.006,0.009,0,0,60,125,157,index-finger
0.151,-0.358,0.851,-0.019,-0.031,-0.019,0,0,60,125,157,index-finger
0.146,-0.369,0.871,0.011,-0.060,-0.035,0,0,60,124,157,index-finger
0.137,-0.383,0.874,0.017,-0.055,-0.028,0,0,60,125,157,index-finger
0.138,-0.385,0.871,0.006,-0.026,0.002,0,0,60,125,157,index-finger
0.141,-0.382,0.865,-0.004,0.004,0.026,0,0,59,125,157,index-finger
0.152,-0.374,0.859,-0.007,0.020,0.042,0,0,60,125,157,index-finger
0.172,-0.358,0.862,0.017,0.015,0.035,0,0,61,125,157,index-finger
0.177,-0.359,0.864,0.043,-0.007,0.022,0,0,60,126,157,index-finger
0.179,-0.359,0.859,0.044,-0.014,0.007,0,0,60,125,158,index-finger
0.175,-0.347,0.862,0.050,-0.034,-0.007,0,0,60,124,157,index-finger
0.167,-0.345,0.854,0.070,-0.036,-0.024,0,0,60,124,157,index-finger
0.164,-0.348,0.851,0.084,-0.023,-0.036,0,0,61,125,158,index-finger
