acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.587,-0.623,-0.619,-0.137,0.182,0.144,0,33,21,16,29,middle-finger
0.577,-0.609,-0.632,-0.147,0.162,0.157,0,34,21,17,30,middle-finger
0.573,-0.608,-0.627,-0.147,0.173,0.155,0,33,21,17,29,middle-finger
0.571,-0.602,-0.628,-0.146,0.219,0.154,0,33,21,17,29,middle-finger
0.570,-0.598,-0.646,-0.146,0.280,0.147,0,33,21,17,29,middle-finger
0.574,-0.593,-0.651,-0.161,0.317,0.143,0,33,21,17,29,middle-finger
0.583,-0.589,-0.656,-0.165,0.347,0.140,0,33,21,17,30,middle-finger
0.588,-0.580,-0.649,-0.174,0.361,0.138,0,33,21,17,29,middle-finger
0.574,-0.579,-0.651,-0.203,0.384,0.138,0,34,21,17,29,middle-finger
0.573,-0.571,-0.653,-0.231,0.392,0.143,0,33,21,17,29,middle-finger
0.556,-0.560,-0.650,-0.256,0.382,0.157,0,33,21,17,29,middle-finger
0.554,-0.557,-0.641,-0.275,0.377,0.174,0,34,22,16,29,middle-finger
0.553,-0.538,-0.659,-0.289,0.433,0.173,0,33,21,17,29,middle-finger
0.556,-0.545,-0.630,-0.244,0.454,0.154,0,33,21,17,29,middle-finger
0.561,-0.553,-0.616,-0.212,0.466,0.158,0,33,22,17,30,middle-finger
0.560,-0.543,-0.614,-0.237,0.491,0.185,0,34,21,17,29,middle-finger
0.572,-0.539,-0.623,-0.201,0.494,0.196,0,34,22,15,30,middle-finger
0.564,-0.534,-0.619,-0.153,0.510,0.208,0,33,22,17,29,middle-finger
0.579,-0.525,-0.634,-0.122,0.513,0.229,0,33,21,18,29,middle-finger
0.583,-0.536,-0.631,-0.057,0.506,0.242,0,34,19,17,29,middle-finger
0.585,-0.551,-0.652,0.007,0.497,0.264,0,33,16,17,29,middle-finger
0.570,-0.547,-0.674,0.066,0.471,0.264,0,30,14,18,30,middle-finger
0.566,-0.591,-0.741,-0.100,0.525,0.377,0,33,13,17,30,middle-finger
0.568,-0.612,-0.778,-0.001,0.564,0.286,0,32,10,17,30,middle-finger
