acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.651,-0.219,-1.117,-0.268,0.271,0.592,0,25,10,7,0,middle-finger
0.622,-0.201,-1.118,-0.359,0.071,0.532,0,24,10,8,0,middle-finger
0.602,-0.212,-1.081,-0.391,-0.046,0.449,0,25,11,8,0,middle-finger
0.573,-0.220,-1.031,-0.406,-0.078,0.375,0,26,10,7,0,middle-finger
0.538,-0.234,-0.986,-0.445,-0.063,0.329,0,25,9,7,0,middle-finger
0.509,-0.231,-0.963,-0.520,-0.040,0.296,0,25,9,7,0,middle-finger
0.498,-0.204,-1.030,-0.578,-0.004,0.299,0,25,9,5,0,middle-finger
0.513,-0.209,-1.066,-0.539,0.037,0.252,0,25,31,7,0,middle-finger
0.518,-0.210,-1.136,-0.558,0.073,0.156,0,26,8,7,0,middle-finger
0.601,-0.227,-1.201,-0.674,0.133,0.061,0,26,6,6,0,middle-finger
0.643,-0.268,-1.313,-0.777,0.226,-0.023,0,25,0,6,0,middle-finger
0.612,-0.258,-1.371,-1.014,0.056,-0.045,0,26,0,8,0,middle-finger
0.653,-0.314,-1.336,-1.061,-0.205,-0.084,0,30,0,5,0,middle-finger
0.638,-0.333,-1.342,-1.213,-0.420,-0.103,0,31,0,9,7,middle-finger
0.624,-0.326,-1.341,-1.495,-0.393,-0.209,0,34,0,14,8,middle-finger
0.608,-0.298,-1.434,-1.799,-0.579,-0.218,0,35,0,24,15,middle-finger
0.581,-0.311,-1.434,-1.963,-0.672,-0.262,0,37,0,25,15,middle-finger
0.579,-0.282,-1.430,-2.148,-0.563,-0.336,0,37,0,33,23,middle-finger
0.592,-0.279,-1.405,-2.283,-0.410,-0.414,0,39,0,41,26,middle-finger
0.588,-0.286,-1.373,-2.314,-0.292,-0.511,0,40,0,50,39,middle-finger
0.576,-0.259,-1.388,-2.305,-0.273,-0.591,0,42,0,57,62,middle-finger
0.581,-0.274,-1.295,-2.365,-0.306,-0.644,0,43,0,61,94,middle-finger
0.543,-0.319,-1.249,-2.475,-0.419,-0.625,0,46,0,61,110,middle-finger
0.553,-0.291,-1.168,-2.564,-0.541,-0.658,0,47,0,74,126,middle-finger
0.556,-0.211,-1.089,-2.678,-0.648,-0.673,0,51,0,100,165,middle-finger
0.524,-0.187,-1.124,-2.630,-0.859,-0.689,0,52,0,114,174,middle-finger
0.544,-0.144,-1.083,-2.430,-1.081,-0.735,0,55,0,126,194,middle-finger
0.520,-0.165,-1.059,-2.153,-1.306,-0.805,0,56,0,133,210,middle-finger
0.459,-0.167,-0.939,-1.956,-1.434,-0.902,0,58,1,141,231,middle-finger
0.381,-0.195,-0.860,-1.748,-1.419,-0.927,0,59,4,154,241,middle-finger
0.328,-0.213,-0.791,-1.436,-1.224,-0.939,0,61,4,161,269,middle-finger
0.310,-0.221,-0.716,-1.279,-0.873,-0.932,0,63,4,174,291,middle-finger
0.261,-0.225,-0.685,-1.250,-0.515,-0.884,0,67,10,183,309,middle-finger
0.243,-0.250,-0.590,-1.138,-0.241,-0.845,0,69,11,194,323,middle-finger
0.265,-0.240,-0.503,-1.047,-0.048,-0.790,0,72,15,202,331,middle-finger
0.240,-0.243,-0.416,-0.924,0.015,-0.697,0,73,17,212,346,middle-finger
0.206,-0.233,-0.308,-0.695,0.002,-0.663,0,74,17,218,360,middle-finger
0.184,-0.211,-0.213,-0.466,-0.129,-0.608,0,74,19,222,366,middle-finger
0.030,-0.306,-0.201,0.179,-0.734,-0.311,0,74,19,227,373,middle-finger
0.002,-0.207,-0.002,0.598,-0.387,-0.221,0,76,18,226,382,middle-finger
-0.039,-0.240,0.156,1.157,-0.047,-0.116,0,77,15,238,385,middle-finger
-0.145,-0.410,0.353,1.543,0.310,0.016,0,77,11,236,394,middle-finger
-0.189,-0.399,0.679,1.889,0.776,-0.009,0,79,2,242,401,middle-finger
-0.156,-0.416,0.936,2.522,0.714,-0.027,0,81,0,239,406,middle-finger
-0.365,-0.464,1.351,3.388,0.155,0.048,0,82,0,235,411,middle-finger
-0.501,-0.394,1.527,3.679,-0.671,0.581,0,79,0,241,412,middle-finger
-0.568,-0.183,1.358,3.752,-1.351,1.356,2,82,0,244,405,middle-finger
-0.501,-0.039,1.126,4.366,-1.856,1.974,9,81,0,242,389,middle-finger
-0.401,-0.026,1.018,4.366,-1.636,2.480,10,82,0,241,389,middle-finger
-0.223,0.186,0.727,4.366,-1.115,2.689,28,81,0,241,381,middle-finger
-0.140,0.396,0.401,4.366,-0.617,2.850,54,82,0,243,385,middle-finger
0.037,0.580,-0.028,4.366,-0.210,2.989,83,82,0,242,388,middle-finger
0.103,0.710,-0.314,4.366,0.336,3.087,99,82,0,245,387,middle-finger
0.210,0.815,-0.756,4.366,0.839,3.045,103,83,0,242,376,middle-finger
0.385,1.053,-1.174,4.366,1.749,3.113,104,83,0,239,376,middle-finger
0.666,1.497,-2.000,4.366,2.973,2.881,100,84,0,238,369,middle-finger
1.070,1.425,-2.000,4.366,4.220,2.389,87,85,0,242,369,middle-finger
2.000,1.047,-2.000,4.366,4.366,1.332,103,86,0,243,371,middle-finger
1.616,1.773,-2.000,4.021,4.366,0.417,122,86,0,242,369,middle-finger
1.729,1.554,-2.000,2.726,3.676,0.266,141,86,0,244,370,middle-finger
1.223,1.377,-2.000,0.970,1.119,-0.027,150,84,0,244,373,middle-finger
0.892,1.045,-2.000,-0.519,-0.828,0.074,153,84,0,245,376,middle-finger
0.571,0.794,-2.000,-1.154,-1.672,0.025,152,83,0,243,377,middle-finger
0.479,0.590,-2.000,-1.413,-1.628,-0.033,149,83,0,245,375,middle-finger
0.438,0.317,-1.721,-1.312,-1.187,-0.167,148,82,0,241,373,middle-finger
0.483,0.055,-1.407,-1.404,-0.695,-0.216,145,82,0,239,370,middle-finger
0.561,0.002,-1.054,-1.487,-0.240,-0.260,139,81,0,242,369,middle-finger
0.583,-0.055,-0.826,-1.324,0.111,-0.369,135,81,0,243,369,middle-finger
0.607,-0.123,-0.698,-1.265,0.167,-0.378,131,79,0,238,369,middle-finger
0.608,-0.154,-0.657,-1.409,-0.056,-0.323,130,79,0,237,369,middle-finger
0.612,-0.070,-0.641,-1.416,-0.268,-0.340,130,79,0,235,362,middle-finger
0.624,0.006,-0.624,-1.147,-0.378,-0.412,126,79,0,236,369,middle-finger
0.518,0.053,-0.660,-0.678,-0.458,-0.443,129,79,0,238,362,middle-finger
0.414,0.042,-0.714,-0.423,-0.504,-0.476,125,79,0,238,362,middle-finger
0.327,0.013,-0.768,-0.438,-0.431,-0.453,123,79,0,239,361,middle-finger
0.312,0.006,-0.803,-0.454,-0.178,-0.443,121,79,0,239,361,middle-finger
0.323,0.046,-0.838,-0.505,0.103,-0.407,123,79,0,237,360,middle-finger
0.338,0.095,-0.857,-0.518,0.177,-0.361,123,79,0,236,360,middle-finger
0.346,0.179,-0.880,-0.507,0.088,-0.324,118,79,0,234,360,middle-finger
0.348,0.236,-0.911,-0.361,-0.118,-0.292,117,78,0,235,361,middle-finger
0.338,0.217,-0.948,-0.172,-0.278,-0.262,115,78,0,236,360,middle-finger
0.361,0.226,-1.002,-0.227,-0.282,-0.222,114,78,0,233,361,middle-finger
0.371,0.246,-1.017,-0.179,-0.272,-0.207,111,79,0,236,358,middle-finger
0.352,0.230,-1.038,-0.144,-0.260,-0.158,106,79,0,234,358,middle-finger
0.338,0.204,-1.039,-0.245,-0.184,-0.104,101,79,0,235,358,middle-finger
0.329,0.190,-1.052,-0.302,-0.084,-0.059,101,78,0,232,358,middle-finger
0.368,0.177,-1.062,-0.375,0.047,-0.032,101,78,0,234,359,middle-finger
0.403,0.183,-1.006,-0.358,0.114,-0.031,101,77,0,231,359,middle-finger
0.433,0.169,-1.011,-0.283,0.020,-0.012,100,78,0,230,358,middle-finger
0.447,0.151,-0.978,-0.169,-0.098,-0.007,99,77,0,227,358,middle-finger
0.467,0.090,-0.957,-0.104,-0.195,-0.011,95,78,0,228,359,middle-finger
0.455,0.055,-0.932,-0.163,-0.226,-0.008,92,77,0,226,357,middle-finger
0.449,0.042,-0.915,-0.160,-0.210,-0.022,90,77,0,226,357,middle-finger
0.445,0.056,-0.923,-0.127,-0.131,-0.048,92,77,0,225,355,middle-finger
0.443,0.068,-0.939,-0.090,-0.045,-0.060,93,75,0,223,357,middle-finger
0.451,0.092,-0.980,-0.031,0.035,-0.068,93,77,0,223,357,middle-finger
0.479,0.099,-1.014,0.013,0.106,-0.101,97,77,0,223,356,middle-finger
0.501,0.110,-1.040,0.043,0.104,-0.138,93,77,0,221,356,middle-finger
0.510,0.109,-1.071,0.062,0.008,-0.138,93,77,0,220,357,middle-finger
0.482,0.073,-1.075,0.015,-0.078,-0.132,93,77,0,219,356,middle-finger
0.478,0.061,-1.073,-0.132,-0.070,-0.134,93,77,0,218,355,middle-finger
0.471,0.055,-1.046,-0.202,-0.036,-0.147,93,77,0,219,356,middle-finger
0.474,0.041,-1.028,-0.259,-0.014,-0.149,91,77,0,219,354,middle-finger
0.450,0.043,-0.999,-0.269,-0.024,-0.139,89,78,0,219,354,middle-finger
0.424,0.033,-0.980,-0.257,-0.001,-0.151,90,76,0,218,353,middle-finger
0.433,0.033,-0.963,-0.236,0.016,-0.149,89,77,0,218,348,middle-finger
0.434,0.044,-0.949,-0.135,-0.006,-0.158,89,77,0,217,347,middle-finger
0.415,0.027,-0.954,-0.053,-0.092,-0.129,87,77,0,217,346,middle-finger
0.395,0.013,-0.949,-0.079,-0.139,-0.085,83,77,0,216,346,middle-finger
0.391,0.009,-0.983,-0.129,-0.114,-0.063,86,76,0,216,346,middle-finger
0.395,0.032,-0.985,-0.151,-0.064,-0.055,87,77,0,217,346,middle-finger
0.397,0.041,-1.003,-0.146,-0.054,-0.030,86,76,0,215,346,middle-finger
0.397,0.047,-1.001,-0.146,-0.042,-0.016,85,75,0,214,347,middle-finger
0.417,0.079,-1.024,-0.165,-0.038,-0.027,84,77,0,216,349,middle-finger
0.425,0.085,-1.006,-0.055,-0.071,-0.051,85,77,0,217,349,middle-finger
0.426,0.055,-1.023,-0.051,-0.082,-0.035,81,77,0,217,349,middle-finger
0.432,0.041,-1.016,-0.112,-0.091,-0.024,79,76,0,216,349,middle-finger
0.424,0.042,-1.005,-0.125,-0.119,-0.022,81,77,0,217,349,middle-finger
0.423,0.032,-0.982,-0.171,-0.147,-0.005,81,77,0,215,349,middle-finger
0.412,0.040,-0.986,-0.203,-0.169,0.027,77,76,0,215,348,middle-finger
0.413,0.044,-0.986,-0.228,-0.133,0.030,77,75,0,214,348,middle-finger
0.427,0.058,-0.984,-0.170,-0.052,0.002,77,75,0,214,348,middle-finger
0.457,0.072,-0.982,-0.092,-0.003,-0.026,75,76,0,214,346,middle-finger
0.441,0.049,-0.967,0.008,-0.034,-0.040,74,76,0,213,345,middle-finger
0.428,0.036,-0.982,-0.032,-0.042,-0.031,74,75,0,214,345,middle-finger
0.433,0.043,-0.986,-0.074,0.000,-0.039,76,75,0,214,346,middle-finger
0.443,0.028,-0.989,-0.084,0.058,-0.050,75,75,0,213,346,middle-finger
0.445,0.038,-0.986,-0.123,0.080,-0.035,74,76,0,214,346,middle-finger
0.450,0.047,-0.995,-0.141,0.058,-0.014,74,76,0,215,345,middle-finger
0.456,0.066,-0.987,-0.129,0.045,-0.015,71,75,0,214,345,middle-finger
0.465,0.074,-0.986,-0.074,0.006,-0.027,73,75,0,213,345,middle-finger
0.469,0.075,-0.994,0.013,-0.056,-0.034,75,75,0,214,344,middle-finger
0.456,0.053,-0.991,0.044,-0.094,-0.034,76,75,0,213,342,middle-finger
0.453,0.035,-0.997,0.000,-0.070,-0.023,75,75,0,211,334,middle-finger
0.445,0.031,-0.999,-0.039,-0.007,-0.043,75,75,0,212,333,middle-finger
0.455,0.031,-1.003,-0.120,0.075,-0.042,75,75,0,210,334,middle-finger
0.458,0.044,-1.014,-0.143,0.109,-0.025,75,75,0,211,331,middle-finger
0.460,0.063,-0.987,-0.120,0.099,-0.027,75,75,0,213,332,middle-finger
0.465,0.067,-0.985,-0.051,0.053,-0.032,74,75,0,213,333,middle-finger
0.470,0.064,-0.991,0.007,0.008,-0.032,77,75,0,213,333,middle-finger
0.467,0.043,-0.987,0.034,-0.018,-0.028,75,75,0,213,333,middle-finger
0.453,0.033,-0.994,0.018,-0.019,-0.029,77,75,0,213,333,middle-finger
0.456,0.037,-0.998,-0.008,0.006,-0.034,78,75,0,213,333,middle-finger
0.464,0.020,-1.011,-0.041,0.042,-0.038,77,74,0,213,334,middle-finger
0.463,0.032,-1.009,-0.096,0.058,-0.042,75,74,0,213,335,middle-finger
0.447,0.034,-1.005,-0.093,0.053,-0.032,76,74,0,212,335,middle-finger
0.454,0.033,-1.022,-0.084,0.051,-0.036,78,74,0,213,337,middle-finger
0.470,0.041,-0.997,-0.068,0.056,-0.041,77,74,0,213,337,middle-finger
