acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.927,-0.039,-0.614,0.147,-0.560,0.063,35,63,134,227,358,thumb-up
0.923,-0.040,-0.577,0.151,-0.471,0.023,36,65,134,231,359,thumb-up
0.914,-0.015,-0.580,0.152,-0.368,-0.019,38,65,136,233,361,thumb-up
0.925,-0.019,-0.573,0.122,-0.288,-0.033,39,62,135,232,365,thumb-up
0.900,-0.018,-0.557,0.057,-0.260,-0.042,42,66,135,234,365,thumb-up
0.884,-0.031,-0.556,-0.007,-0.238,-0.029,42,63,138,237,366,thumb-up
0.875,-0.031,-0.536,-0.057,-0.215,-0.021,43,66,137,238,367,thumb-up
0.863,-0.025,-0.535,-0.098,-0.178,-0.024,45,67,135,239,367,thumb-up
0.868,-0.029,-0.538,-0.073,-0.157,-0.027,45,66,136,244,369,thumb-up
0.821,-0.036,-0.567,-0.038,-0.180,-0.011,45,67,127,243,370,thumb-up
0.848,-0.048,-0.546,-0.022,-0.127,-0.037,45,68,126,247,371,thumb-up
0.852,-0.042,-0.542,-0.008,-0.066,-0.056,43,68,129,249,371,thumb-up
0.846,-0.043,-0.547,0.005,-0.032,-0.087,45,69,126,246,371,thumb-up
0.873,-0.047,-0.544,0.038,-0.003,-0.095,45,69,126,248,371,thumb-up
0.863,-0.038,-0.549,0.044,0.000,-0.118,43,68,126,248,369,thumb-up
0.867,-0.045,-0.540,0.046,0.003,-0.123,43,69,126,247,366,thumb-up
0.876,-0.051,-0.540,0.048,-0.004,-0.122,44,69,126,250,364,thumb-up
0.875,-0.044,-0.524,0.083,-0.024,-0.123,44,69,125,251,367,thumb-up
0.886,-0.043,-0.532,0.092,-0.036,-0.132,44,69,127,249,364,thumb-up
0.891,-0.051,-0.528,0.104,-0.064,-0.129,43,69,129,250,363,thumb-up
0.859,-0.076,-0.637,0.005,-0.091,-0.096,43,69,131,251,357,thumb-up
0.893,-0.064,-0.539,0.101,-0.142,-0.122,45,69,130,251,357,thumb-up
0.869,-0.054,-0.516,0.174,-0.183,-0.113,45,69,132,250,361,thumb-up
0.879,-0.062,-0.536,0.165,-0.224,-0.119,46,68,131,247,359,thumb-up
0.864,-0.058,-0.537,0.150,-0.216,-0.101,46,69,132,245,361,thumb-up
0.872,-0.058,-0.552,0.131,-0.174,-0.098,46,69,132,244,365,thumb-up
0.870,-0.050,-0.552,0.110,-0.138,-0.095,46,69,131,245,367,thumb-up
0.871,-0.052,-0.541,0.122,-0.133,-0.078,46,68,130,245,366,thumb-up
0.861,-0.055,-0.524,0.127,-0.133,-0.056,46,68,132,247,369,thumb-up
0.886,-0.050,-0.530,0.120,-0.124,-0.073,47,68,134,246,370,thumb-up
0.887,-0.056,-0.520,0.107,-0.103,-0.064,45,69,131,248,370,thumb-up
0.889,-0.055,-0.531,0.109,-0.097,-0.056,45,69,130,246,369,thumb-up
0.887,-0.052,-0.526,0.074,-0.081,-0.057,45,69,130,246,369,thumb-up
0.894,-0.046,-0.537,0.047,-0.052,-0.080,46,69,129,244,368,thumb-up
0.891,-0.048,-0.538,0.049,-0.041,-0.095,45,69,127,242,370,thumb-up
0.888,-0.051,-0.543,0.035,-0.031,-0.097,46,69,130,238,369,thumb-up
0.880,-0.045,-0.541,0.019,-0.019,-0.097,42,68,130,237,370,thumb-up
0.885,-0.052,-0.535,0.013,-0.011,-0.093,44,70,130,235,372,thumb-up
0.881,-0.053,-0.530,0.010,-0.013,-0.082,42,69,130,237,366,thumb-up
0.876,-0.042,-0.536,0.004,-0.029,-0.067,45,68,125,237,370,thumb-up
0.875,-0.041,-0.528,0.008,-0.030,-0.064,42,67,129,238,373,thumb-up
0.879,-0.044,-0.522,0.022,-0.040,-0.062,40,67,130,237,372,thumb-up
0.878,-0.050,-0.529,0.021,-0.037,-0.055,39,68,132,233,371,thumb-up
0.869,-0.048,-0.521,0.025,-0.044,-0.048,35,68,129,232,370,thumb-up
0.866,-0.059,-0.523,0.014,-0.032,-0.037,42,67,126,231,370,thumb-up
0.874,-0.060,-0.518,-0.002,-0.021,-0.027,39,67,125,228,369,thumb-up
0.871,-0.056,-0.515,-0.025,-0.021,-0.012,37,66,124,226,367,thumb-up
0.868,-0.052,-0.513,-0.015,-0.031,-0.011,36,68,125,225,365,thumb-up
0.870,-0.051,-0.516,-0.022,-0.030,-0.013,34,65,124,223,367,thumb-up
