acc_x,acc_y,acc_z,vec_x,vec_y,vec_z,thumb,index,middle,ring,pinky,label
0.635,-0.343,0.599,-0.004,-0.172,-0.087,0,0,0,0,0,tiny-movement
0.612,-0.353,0.611,-0.007,-0.222,-0.083,0,0,0,0,0,tiny-movement
0.598,-0.348,0.611,-0.019,-0.235,-0.069,0,0,0,0,0,tiny-movement
0.601,-0.347,0.606,-0.037,-0.213,-0.060,0,0,0,0,0,tiny-movement
0.589,-0.347,0.616,-0.038,-0.154,-0.054,0,0,0,0,0,tiny-movement
0.594,-0.340,0.624,-0.031,-0.090,-0.042,0,0,0,0,0,tiny-movement
0.596,-0.336,0.612,-0.015,-0.050,-0.040,0,0,0,0,0,tiny-movement
0.605,-0.330,0.618,0.009,-0.020,-0.040,0,0,0,0,0,tiny-movement
0.617,-0.338,0.617,0.020,-0.026,-0.035,0,0,0,0,0,tiny-movement
0.612,-0.349,0.615,0.030,-0.050,-0.036,0,0,0,0,0,tiny-movement
0.604,-0.347,0.609,0.022,-0.069,-0.029,0,0,0,0,0,tiny-movement
0.606,-0.346,0.611,0.007,-0.068,-0.021,0,0,0,0,0,tiny-movement
0.601,-0.352,0.609,-0.002,-0.051,-0.016,0,0,0,0,0,tiny-movement
0.599,-0.342,0.614,0.000,-0.033,-0.008,0,0,0,0,0,tiny-movement
0.604,-0.343,0.604,0.009,-0.007,-0.005,0,0,0,0,0,tiny-movement
0.603,-0.340,0.600,0.020,0.017,-0.001,0,0,0,0,0,tiny-movement
0.615,-0.337,0.599,0.027,0.033,-0.005,0,0,0,0,0,tiny-movement
0.615,-0.337,0.607,0.038,0.033,-0.013,0,0,0,0,0,tiny-movement
0.618,-0.347,0.602,0.036,0.025,-0.016,0,0,0,0,0,tiny-movement
0.620,-0.348,0.608,0.030,0.012,-0.026,0,0,0,0,0,tiny-movement
0.617,-0.347,0.600,0.021,0.005,-0.028,0,0,0,0,0,tiny-movement
0.618,-0.347,0.593,0.014,-0.003,-0.035,0,0,0,0,0,tiny-movement
0.620,-0.337,0.608,0.012,-0.015,-0.038,0,0,0,0,0,tiny-movement
0.614,-0.338,0.600,0.015,-0.029,-0.039,0,0,0,0,0,tiny-movement
0.607,-0.336,0.596,0.009,-0.030,-0.038,0,0,0,0,0,tiny-movement
0.606,-0.339,0.591,0.015,-0.020,-0.037,0,0,0,0,0,tiny-movement
0.604,-0.330,0.593,0.013,-0.002,-0.027,0,0,0,0,0,tiny-movement
0.602,-0.337,0.583,0.009,0.013,-0.016,0,0,0,0,0,tiny-movement
0.598,-0.334,0.590,0.006,0.030,-0.012,0,0,0,0,0,tiny-movement
0.609,-0.337,0.591,0.007,0.050,-0.003,0,0,0,0,0,tiny-movement
0.608,-0.332,0.598,0.001,0.056,0.001,0,0,0,0,0,tiny-movement
0.601,-0.331,0.594,-0.015,0.047,0.019,0,0,0,0,0,tiny-movement
0.599,-0.327,0.598,-0.012,0.066,0.026,0,0,0,0,0,tiny-movement
0.607,-0.321,0.598,-0.025,0.088,0.036,0,0,0,0,0,tiny-movement
0.603,-0.315,0.598,-0.035,0.130,0.047,0,0,0,0,0,tiny-movement
0.599,-0.318,0.596,-0.016,0.176,0.058,0,0,0,0,0,tiny-movement
0.594,-0.313,0.603,0.008,0.254,0.076,0,0,0,0,0,tiny-movement
0.616,-0.322,0.593,0.004,0.321,0.102,0,0,0,0,0,tiny-movement
0.604,-0.302,0.609,0.033,0.424,0.119,0,0,0,0,0,tiny-movement
0.612,-0.310,0.587,0.044,0.464,0.144,0,0,0,2,0,tiny-movement
0.612,-0.311,0.599,0.055,0.545,0.161,0,0,0,0,0,tiny-movement
0.612,-0.313,0.585,0.061,0.628,0.180,0,0,0,0,0,tiny-movement
0.621,-0.317,0.570,0.058,0.704,0.205,0,0,0,0,0,tiny-movement
0.628,-0.319,0.572,0.057,0.765,0.225,0,0,0,0,0,tiny-movement
0.650,-0.314,0.561,0.070,0.811,0.235,0,0,0,0,0,tiny-movement
0.676,-0.313,0.552,0.081,0.796,0.218,0,0,0,0,0,tiny-movement
0.714,-0.324,0.559,0.064,0.679,0.198,0,0,0,0,0,tiny-movement
0.749,-0.319,0.534,0.038,0.440,0.163,0,0,0,0,0,tiny-movement
0.776,-0.318,0.530,0.008,0.144,0.120,0,0,0,0,0,tiny-movement
0.766,-0.337,0.534,-0.040,-0.116,0.076,0,0,0,0,0,tiny-movement
0.751,-0.330,0.540,-0.086,-0.272,0.043,0,0,0,0,0,tiny-movement
0.727,-0.331,0.548,-0.121,-0.300,0.016,0,0,0,0,0,tiny-movement
0.712,-0.332,0.557,-0.125,-0.248,-0.005,0,0,0,0,0,tiny-movement
0.704,-0.321,0.545,-0.111,-0.152,-0.019,0,0,0,0,0,tiny-movement
0.701,-0.317,0.550,-0.082,-0.072,-0.032,0,0,0,0,0,tiny-movement
0.708,-0.323,0.546,-0.064,-0.058,-0.040,0,0,0,0,0,tiny-movement
0.708,-0.327,0.563,-0.060,-0.090,-0.055,0,0,0,0,0,tiny-movement
0.702,-0.329,0.544,-0.062,-0.158,-0.068,0,0,0,0,0,tiny-movement
0.693,-0.335,0.560,-0.075,-0.215,-0.083,0,0,0,0,0,tiny-movement
0.676,-0.335,0.562,-0.074,-0.244,-0.097,0,0,0,0,0,tiny-movement
0.657,-0.333,0.567,-0.075,-0.236,-0.096,0,0,0,0,0,tiny-movement
0.656,-0.334,0.560,-0.068,-0.191,-0.087,0,0,0,0,0,tiny-movement
